"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Price","Weight value (grams)","Weight unit for display","Image Src","Image position"
"White A9 Pro ANC Bluetooth 5.4 Wireless Earbuds with Smart Screen and Active Noise Cancellation","white-a9-pro-anc-bluetooth-54-wireless-earbuds-with-smart-screen-and-active-noise-cancellation","<p data-start=""704"" data-end=""1169"">Experience crystal-clear sound and ultimate convenience with the White A9 Pro ANC AirPods. Designed with advanced noise cancellation, Bluetooth 5.4 technology, and a smart screen for real-time status, these earbuds ensure seamless performance. Enjoy long-lasting battery life, fast charging, and superior comfort with in-ear light sensing detection. Perfect for music, calls, and daily use, they deliver premium audio anytime, anywhere.</p><p data-start=""1171"" data-end=""1690""><strong data-start=""1171"" data-end=""1188"">Key Features:</strong><br data-start=""1188"" data-end=""1191"">
➤ Model: A9 Pro ANC Fifth Generation + Smart Screen<br data-start=""1242"" data-end=""1245"">
➤ Chipset: Jerry 7003D8 with advanced noise reduction<br data-start=""1298"" data-end=""1301"">
➤ Bluetooth Version: 5.4 (Supports binaural calls)<br data-start=""1351"" data-end=""1354"">
➤ Transmission Distance: Up to 15 meters barrier-free<br data-start=""1407"" data-end=""1410"">
➤ Frequency Response: 20Hz–20,000Hz for rich audio<br data-start=""1460"" data-end=""1463"">
➤ Speaker Unit: F13 titanium diaphragm, 32Ω±15%<br data-start=""1510"" data-end=""1513"">
➤ Microphone: 2718 silicon mic, sensitivity -42±3 dB<br data-start=""1565"" data-end=""1568"">
➤ Battery: 3.7V polymer with 3C fast charging<br data-start=""1613"" data-end=""1616"">
➤ Charging Case: Multiple charges for extended use<br data-start=""1666"" data-end=""1669"">
➤ Weight: 140 grams</p><p data-start=""1692"" data-end=""1994""><strong data-start=""1692"" data-end=""1707"">How to Use:</strong><br data-start=""1707"" data-end=""1710"">
➤ Open the charging case and enable pairing mode<br data-start=""1758"" data-end=""1761"">
➤ Turn on Bluetooth on your device and select A9 Pro ANC<br data-start=""1817"" data-end=""1820"">
➤ Place earbuds in ears for auto light-sensing detection<br data-start=""1876"" data-end=""1879"">
➤ Tap controls for calls, music, and ANC settings<br data-start=""1928"" data-end=""1931"">
➤ Charge using the included charging case when battery is low</p><p data-start=""2022"" data-end=""2226""><strong data-start=""2022"" data-end=""2045"">Safety Information:</strong><br data-start=""2045"" data-end=""2048"">
➤ Keep away from water and extreme heat<br data-start=""2087"" data-end=""2090"">
➤ Do not overcharge battery or use damaged cables<br data-start=""2139"" data-end=""2142"">
➤ Avoid exposure to strong magnetic fields<br data-start=""2184"" data-end=""2187"">
➤ Keep out of reach of small children</p><p class=""MsoNormal"" style=""margin: 0cm; font-size: 12pt; font-family: Calibri, sans-serif;"">




</p><p data-start=""2228"" data-end=""2370""><strong data-start=""2228"" data-end=""2249"">Package Includes:</strong><br data-start=""2249"" data-end=""2252"">
➤ 1 × Pair of A9 Pro ANC Earbuds<br data-start=""2284"" data-end=""2287"">
➤ 1 × Smart Charging Case with Display<br data-start=""2325"" data-end=""2328"">
➤ 1 × Charging Cable<br data-start=""2348"" data-end=""2351"">
➤ 1 × User Manual</p>","","","","Airpods & Headsets","True","Active","Ai-1-00-00-1","2430","156","gm","https://yourmart.pk/storage/uploads/inventory/products/media/Mobile-Phone-Accessories-A9-PRO-Bluetooth-Products-Earpod-Wireless-Headphone-fo_1726913003.webp",""
"","white-a9-pro-anc-bluetooth-54-wireless-earbuds-with-smart-screen-and-active-noise-cancellation","","","","","","","","","","","","https://yourmart.pk/storage/uploads/inventory/products/media/A9-airpods-Pro-ANC-ENC-Touch-Screen-Type-C_1726005484.jpg",""
"","white-a9-pro-anc-bluetooth-54-wireless-earbuds-with-smart-screen-and-active-noise-cancellation","","","","","","","","","","","","https://yourmart.pk/storage/uploads/inventory/products/media/a9-pro-airpods-pro-screen-airpods-anc-twc-wireless-airpods-bt-5-4-version-extended-battery-life-2(1)_1726001742.jpg",""
"","white-a9-pro-anc-bluetooth-54-wireless-earbuds-with-smart-screen-and-active-noise-cancellation","","","","","","","","","","","","https://yourmart.pk/storage/uploads/inventory/products/media/Mobile-Phone-Accessories-A9-PRO-Bluetooth-Products-Earpod-Wireless-Headphone-fo_1726907035.webp",""
"","white-a9-pro-anc-bluetooth-54-wireless-earbuds-with-smart-screen-and-active-noise-cancellation","","","","","","","","","","","","https://yourmart.pk/storage/uploads/inventory/products/media/Mobile-Phone-Accessories-A9-PRO-Bluetooth-Products-Earpod-Wireless-Headphone-for-Apple-with-Display-1_1726907035.webp",""
"","white-a9-pro-anc-bluetooth-54-wireless-earbuds-with-smart-screen-and-active-noise-cancellation","","","","","","","","","","","","https://yourmart.pk/storage/uploads/inventory/products/media/A9-airpods-Pro-ANC-ENC-Touch-Screen-Type-C_1726907035.jpg",""
"Black A9 Pro ANC Bluetooth 5.4 Wireless Earbuds with Smart Screen and Active Noise Cancellation","black-a9-pro-anc-bluetooth-54-wireless-earbuds-with-smart-screen-and-active-noise-cancellation","<p data-start=""609"" data-end=""1074"">Experience crystal-clear sound and ultimate convenience with the Black A9 Pro ANC AirPods. Designed with advanced noise cancellation, Bluetooth 5.4 technology, and a smart screen for real-time status, these earbuds ensure seamless performance. Enjoy long-lasting battery life, fast charging, and superior comfort with in-ear light sensing detection. Perfect for music, calls, and daily use, they deliver premium audio anytime, anywhere.</p>
<p data-start=""1076"" data-end=""1595""><strong data-start=""1076"" data-end=""1093"">Key Features:</strong><br data-start=""1093"" data-end=""1096"">
➤ Model: A9 Pro ANC Fifth Generation + Smart Screen<br data-start=""1147"" data-end=""1150"">
➤ Chipset: Jerry 7003D8 with advanced noise reduction<br data-start=""1203"" data-end=""1206"">
➤ Bluetooth Version: 5.4 (Supports binaural calls)<br data-start=""1256"" data-end=""1259"">
➤ Transmission Distance: Up to 15 meters barrier-free<br data-start=""1312"" data-end=""1315"">
➤ Frequency Response: 20Hz–20,000Hz for rich audio<br data-start=""1365"" data-end=""1368"">
➤ Speaker Unit: F13 titanium diaphragm, 32Ω±15%<br data-start=""1415"" data-end=""1418"">
➤ Microphone: 2718 silicon mic, sensitivity -42±3 dB<br data-start=""1470"" data-end=""1473"">
➤ Battery: 3.7V polymer with 3C fast charging<br data-start=""1518"" data-end=""1521"">
➤ Charging Case: Multiple charges for extended use<br data-start=""1571"" data-end=""1574"">
➤ Weight: 140 grams</p>
<p data-start=""1597"" data-end=""1899""><strong data-start=""1597"" data-end=""1612"">How to Use:</strong><br data-start=""1612"" data-end=""1615"">
➤ Open the charging case and enable pairing mode<br data-start=""1663"" data-end=""1666"">
➤ Turn on Bluetooth on your device and select A9 Pro ANC<br data-start=""1722"" data-end=""1725"">
➤ Place earbuds in ears for auto light-sensing detection<br data-start=""1781"" data-end=""1784"">
➤ Tap controls for calls, music, and ANC settings<br data-start=""1833"" data-end=""1836"">
➤ Charge using the included charging case when battery is low</p>
<p data-start=""1927"" data-end=""2131""><strong data-start=""1927"" data-end=""1950"">Safety Information:</strong><br data-start=""1950"" data-end=""1953"">
➤ Keep away from water and extreme heat<br data-start=""1992"" data-end=""1995"">
➤ Do not overcharge battery or use damaged cables<br data-start=""2044"" data-end=""2047"">
➤ Avoid exposure to strong magnetic fields<br data-start=""2089"" data-end=""2092"">
➤ Keep out of reach of small children</p>
<p data-start=""2133"" data-end=""2275""><strong data-start=""2133"" data-end=""2154"">Package Includes:</strong><br data-start=""2154"" data-end=""2157"">
➤ 1 × Pair of A9 Pro ANC Earbuds<br data-start=""2189"" data-end=""2192"">
➤ 1 × Smart Charging Case with Display<br data-start=""2230"" data-end=""2233"">
➤ 1 × Charging Cable<br data-start=""2253"" data-end=""2256"">
➤ 1 × User Manual</p>","","","","Airpods & Headsets","True","Active","Ai-2-00-00-2","2498","156","gm","https://yourmart.pk/storage/uploads/inventory/products/media/1_1727090992.jpg",""
"","black-a9-pro-anc-bluetooth-54-wireless-earbuds-with-smart-screen-and-active-noise-cancellation","","","","","","","","","","","","https://yourmart.pk/storage/uploads/inventory/products/media/1_1727090992.jpg",""
"","black-a9-pro-anc-bluetooth-54-wireless-earbuds-with-smart-screen-and-active-noise-cancellation","","","","","","","","","","","","https://yourmart.pk/storage/uploads/inventory/products/media/2_1727090992.jpg",""
"","black-a9-pro-anc-bluetooth-54-wireless-earbuds-with-smart-screen-and-active-noise-cancellation","","","","","","","","","","","","https://yourmart.pk/storage/uploads/inventory/products/media/3_1727090992.jpg",""
